id,option_A,option_B,option_C,option_D,option_E,option_F,option_G
119,A、指令或者放任从业人员违反操作规程或者安全管理规定从事作业,B、超过核定的生产能力、强度进行生产,C、安全生产标准化建设,,,,
121,A、纯棉工作服,B、化纤工作服,C、防静电工作服,,,,
123,A、技术,B、技能,C、安全,D、职业卫生,,,
125,A、申请,B、备案,C、申报,D、审查,,,
126,A、化学、物理、生物,B、化学、物理、生理,C、生理、物理、生物,D、化学、物理、生化,,,
127,A、技术守则,B、条款,C、安全操作规程,,,,
128,A、职业卫生预评价报告,B、职业病危害预评价报告,C、职业安全卫生预评价报告,D、职业安全预评价报告,,,
130,A、管理服务原则,B、责权对等原则,C、目标明确原则,,,,
131,A、统一指挥原则,B、目标明确原则,C、因事与因人设置相结合的原则,,,,
132,A、工人甲,B、班组长,C、车间主任,D、化工厂主要负责人,,,
135,A、随意编排,B、逆序排列,C、一致,,,,
136,A、中文说明书,B、英文说明书,C、技术说明书,D、安全说明书,,,
137,A、安全教育培训,B、安全技术改造,C、带薪年假制度,D、优化作业环境,,,
139,A、安全态度教育,B、安全知识教育,C、安全技能教育,,,,
140,A、员工健康检查,B、职业健康监护,C、定期健康检查,D、职业健康体检,,,
141,A、本人职业健康监护档案,B、职业健康监护证明,C、本人职业健康监护档案证明,D、本人职业健康监护档案复印件,,,
142,A、广告式,B、声像式,C、讲授式,,,,
143,A、广告式,B、声像式,C、讲授式,,,,
145,A、二倍以上五倍,B、五倍以上十倍,C、二倍以上十倍,D、一倍以上十倍,,,
146,A、生产为主,B、以人为本,C、实现价值,D、安全第一,,,
147,A、一万元以上三万元,B、一万元以上五万元,C、二万元以上十万元,D、二万元以上五万元,,,
149,A、安全监管部门,B、卫生行政部门,C、工会,D、人力资源和社会保障部门,,,
150,A、呼吸道,B、消化道,C、皮肤黏膜,D、血液,,,
151,A、省,B、市,C、县,D、乡,,,
152,A、漏报,B、谎报,C、瞒报,D、迟报,,,
153,A、20日,B、30日,C、60日,D、90日,,,
155,A、直接原因,B、间接原因,C、综合原因,D、不确定原因,,,
157,A、预防程序,B、准备程序,C、应急程序,,,,
158,A、预防程序,B、准备程序,C、恢复程序,,,,
159,A、个人健康,B、家庭健康,C、个人档案,D、家人档案,,,
163,A、最后用人单位,B、劳务中介,C、前一用人单位,,,,
167,A、安全标识,B、警示标识,C、中英文警示说明,,,,
171,A、领导负责,B、责任制,C、管理制度,,,,
173,A、任何单位和个人,B、环境保护部门,C、利害关系人,D、公民,,,
174,A、决策权，管理权,B、管理权，监督权,C、参与权，监督权,D、监督权，决策权,,,
175,A、核废料,B、固体废物,C、医疗废物,,,,
182,A、废水、废料、废渣,B、废水、废气、废渣,C、废料、废气、固体废弃物,D、废气、垃圾、医疗废弃物,,,
185,A、人的不安全行为、管理缺陷,B、人的不安全行为、物的不安全状态,C、物的不安全状态、管理缺陷,D、物的不安全状态、环境的不良影响,,,
186,A、申请,B、备案,C、申报,D、审核,,,
187,A、安全宣传标语,B、安全宣传挂图,C、安全警示标志,D、安全操作规程,,,
191,A、80,B、100,C、150,D、200,,,
194,A、血管下方,B、近心端,C、远心端,,,,
195,A、二氧化碳,B、甲烷,C、氧气,D、氮氧化合物,,,
196,A、8-10,B、16-18,C、18-24,,,,
197,A、废气,B、废水,C、废渣,,,,
199,A、领导,B、管理,C、直接,D、间接,,,
200,A、遵章守纪,B、安全生产意识和安全管理水平,C、提高防范事故的能力,,,,
201,A、大气、水体、土壤、生物、噪声,B、大气、市容、土壤、生物、噪声,C、大气、交通、土壤、生物、噪声,,,,
202,A、3,B、5,C、10,D、15,,,
205,A、尽量减少不必要的活动,B、给伤者服止痛片止痛,"C、运送途中应把伤者的头转向一侧 , 便于清除呕吐物",D、简易包扎止血,,,
208,A、上风侧,B、下风侧,C、侧位,D、无一定位置,,,
210,A、5,B、4,C、3,D、2,,,
212,A、红色,B、黄色,C、蓝色,D、绿色,,,
213,A、皮带进入皮带轮的部位,B、轮轴部位,C、皮带离开皮带轮的部位,,,,
214,A、乘坐普通电梯逃生,B、向上逃跑,C、躲避到避难层等地等待救援,D、跳楼求生,,,
218,A、定期,B、不定期,C、经常,D、不必,,,
219,A、党政主要负责人,B、分管安全生产工作的班子成员,C、安全生产监管部门主要负责人,D、安全生产监管人员,,,
220,A、责任追究,B、一票否决,C、照单问责,D、谁主管谁负责,,,
224,A、安全生产监督管理部门,B、当地人民政府,C、生产经营单位,D、生产经营单位负责人,,,
225,A、1,B、2,C、3,D、5,,,
228,A、防火巡查,B、防火检查,C、安全设计,,,,
230,A、正式职工,B、临时工、农民工,C、各类企业全部职工和个体工商户的全部雇工,D、正式工、劳务派遣工,,,
231,A、视情况可以终止或解除,B、可以终止或解除,C、不得终止或解除,D、需要重新签订,,,
234,A、7月31日；10月31日,B、4月24日；2015年1月1日,C、5月1日；8月30日；,D、4月24日；2015年5月1日,,,
236,A、吊销,B、注销,C、撤销,D、取消,,,
238,A、降低噪声源,B、高低区分隔,C、工人轮岗制,D、设置隔音室,,,
240,A、车辆可随意通行,B、准许车辆通行，但直行车辆须注意避让转弯车辆,C、准许车辆通行，但转弯车辆须不得妨碍被放行的直行车辆和行人通行,,,,
241,A、干扰驾驶员驾驶,B、不将身体任何部分伸出车外,C、在道路上没其他车辆且不影响其他行人的情况下跳车,,,,
242,A、服从信号灯,B、服从交通警察指挥,C、服从交通标志、标线,,,,
244,A、1,B、2,C、3,D、4,,,
250,A、前进行驶,B、倒车行驶,C、更换大型号叉车,D、拒绝运输,,,
251,A、14 周岁,B、16 周岁,C、18 周岁,,,,
252,A、协商选择一个行政区域人民政府,B、共同的上一级人民政府,C、共同的上一级人民政府指定一个行政区域人民政府,D、第三方人民政府,,,
253,A、不得妨碍其他车辆和行人通行,B、可以随意停放,C、不能停放,,,,
254,A、2,B、3,C、4,,,,
258,,,,,,,
260,答案：A,,,,,,
262,A、高速公路、普通公路,B、公路、城市道路和虽在单位管辖范围但允许社会机动车通行的地方，包括广场、公共停车场等用于公众通行的场所,C、沥青公路、水泥公路、砂石公路,,,,
265,A、14 周岁,B、16 周岁,C、18 周岁,,,,
266,A、靠近行驶,B、错开行驶,C、并排行驶,,,,
268,A、11,B、12,C、13,D、14,,,
270,A、行人应该避让机动车,B、可以不减速且应快速通过,C、必须减速或者停车，避让行人,,,,
271,A、后面驶来的机动车须减速让行,B、本车道的机动车具有优先权，可以不避让非机动车,C、机动车可以示意非机动车让道,,,,
272,A、必须减速或者停车，避让行人,B、紧跟前方车辆快速通过,C、行人应主动避让机动车,,,,
275,A、2,B、3,C、1,,,,
276,A 、十五,B、十,C、三十,,,,
278,A、3月1日,B、4月1日,C、3月25日,,,,
280,A、营运载客汽车5年以内每2年检验1次;超过5年的，每6个月检验1次;,B、载货汽车和大型、中型非营运载客汽车10年以内每年检验1次;超过10年的，每6个月检验1次;,C、小型、微型非营运载客汽车6年以内每2年检验1次;超过6年的，每年检验1次;超过15年的，每6个月检验1次;,,,,
282,A、呼吸道,B、消化道,C、皮肤黏膜,,,,
288,A、超量,B、超载,C、超速,D、超重,,,
289,A、119 报警电话是免费的,B、发生火灾时任何人都可以无偿拨打119,"C、为了演练,平时可以拨打 119",,,,
291,A、不得,B、可以,C、按照一定标准,,,,
292,A、5m,B、10m,C、15m,D、20m,,,
293,A、生产经营计划；财务预算,B、生产经营计划；财务决算,C、安全投入计划；财务预算,D、安全投入计划；财务决算,,,
296,A、直接原因,B、间接原因,C、综合原因,D、不确定原因,,,
297,A、内因,B、外因,C、内外因,,,,
298,A、内因,B、外因,C、内外因,,,,
299,A、不是,B、是,C、不确定,,,,
300,A、侥幸心理,B、安全心理,C、个性心理,,,,
301,A、触动电器开关或拨打电话；,B、使用明火；,C、A和B都正确,,,,
303,A、快速见效性,B、直接性,C、长效性,,,,
305,A、自上而下,B、在下而上,C、都可以,,,,
307,A、灭火方法相同的物品,B、容易相互发生化学反应的物品,C、以上两种答案都对,,,,
310,A、能量或危险物质,B、能量,C、危险物质,,,,
311,A、可以,B、经过领导批准后可以,C、不可以,,,,
312,A、控制效果,B、信息发布,C、检测,,,,
313,A、可以,B、不可以,C、经批准后可以,,,,
315,A、演练排演,B、演练实施,C、演练推演,,,,
316,A、铅,B、汞,C、苯,D、微波,,,
317,A、 应急疏散计划,B、安全保卫计划,C、灭火和应急疏散预案,,,,
319,A、每 4 小时,B、每 5 小时,C、每 2 小时,,,,
323,A、警示牌,B、警戒标志,C、现场标志,,,,
325,A、物理,B、化学,C、生物,,,,
326,A、变宽,B、变窄,C 、不变,D、不确定,,,
329,A、事故发生单位的概况,B、事故发生的时间、地点,C、事故发生地的生态环境情况,D、事故现场情况,,,
332,A、公司级安全教育,B、车间级安全教育,C、班组级安全教育,,,,
333,A、优先救人,B、优先抢救财物,C、优先灭火,,,,
334,A、安全教育培训,B、安全技术改造,C、工艺调整,,,,
337,A、2,B、2.5,C、3,,,,
338,A、不定期,B、定期,C、临时,,,,
342,A、颈部的,B、头部的,C、胸部的,,,,
343,A、被人践踏,B、窒息,C、烧伤,,,,
344,A、登记手续,B、领导同意,C、安全生产考试培训,,,,
346,A、公安机关,B、检察机关,C、安全生产监督管理部门,D、法院,,,
351,A、生产经营场所设备、设施符合安全生产要求,B、保证安全生产所必需的资金投入,C、主要负责人和安全生产管理人员取得注册安全工程师执业资格,,,,
352,A、350mm,B、300mm,C、250mm,D、400mm,,,
354,A、用绝缘物体拉开电源或触电者,B、立即用手拉开触电人员,C、去找专业电工进行处理,,,,
358,A、前方车辆左转弯时,B、前方车辆停车时,C、前方车辆右转弯时,,,,
360,A、施工单位主要负责人和项目负责人,B、项目负责人和安全员,C、专职安全生产管理人员,D、A和C,,,
364,A、计划,B、演练,C、预防,D、布置,,,
367,A、机动车辆进入生活区，其排气管应装有阻火器,B、在输油站场的生产区从事生产的职工，应穿戴防静电工作服,C、在输油站场的生产区要种植草皮和低矮树木，以调节生产区的空气,,,,
369,A、使骨折加重，脊髓神经受损,B、造成颈部损伤,C、病人感到不舒服,,,,
376,A、喊人,B、马上救火,C、呼叫,D、报警,,,
378,A、管理人员,B、工人,C、以上两类人员都同样需要,,,,
380,A、附加护耳罩,B、贴上标记,C、自己钻孔加扣带,,,,
386,A、“灭早、灭小、灭了”,B、“先局布后整体”,C、“求快”,,,,
388,A、1,B、2,C、4,D、10,,,
389,A、4级,B、5级,C、6级,,,,
399,A、重症中暑,B、轻症中暑,C、热射病,,,,
401,A、2米,B、3米,C、4米,D、6米,,,
403,A、2,B、3,C、2.5,,,,
404,A、安全生产许可证、产品检验证、安全合格证、商用发票,B、生产许可证、产品合格证、安全鉴定证、专用发票,C、安全生产证、产品检验证、安全合格证、商用发票,D、安全生产证、产品合格证、安全鉴定证、专用发票,,,
406,A、大饭桌,B、高大柜子,C、操作人员上方牢固的物体,,,,
408,A、在高温的环境下工作，出现头痛、头晕、乏力、胸闷心悸、口渴多汗等，体温可正常或略高。,B、在高温的环境下工作，出现头痛、头晕、乏力、胸闷心悸、口渴多汗。体温38度以上，皮肤灼热或出现虚脱(面色苍白，脉率快，血压下降等)。,C、在高温环境中，体温急剧升高达40℃以上，继出大量冷汗后无汗及意识障碍；因大量出汗致脱水，出现虚脱或短暂晕厥；因口渴而大量饮水导致体内氯化钠浓度显著降低，引起下肢、腹部肌肉强直性痉挛及绞痛。,,,,
410,A、10,B、25,C、50,,,,
411,A、＂在此工作”,B、“止步，高压危险”,C、“禁止合闸，有人工作”,,,,
413,A、12,B、36,C、42,,,,
415,A、设计,B、使用,C、维修,,,,
417,A、900秒,B、600秒,C、300秒,,,,
418,A、绝缘处理,B、完好检查,C、精度调整,,,,
419,A、毛细血管出血,B、静脉出血,C、动脉出血,,,,
420,A、培训证书,B、许可证书,C、合格证书,D、资格证书,,,
421,A、上部,B、中部,C、根部,,,,
423,A、尽量减少不必要的活动,B、给伤者服止痛片止痛,C、运送途中应把伤者的头转向一侧，便于清除呕吐物,,,,
425,A、警告标志,B、指令标志,C、提示标志,,,,
426,A、1.5,B、.5,C、1,,,,
427,A、墨镜,B、平光镜,C、虑光镜,,,,
429,A、零线,B、火线,C、地线,,,,
430,A、盖住锅盖,B、用水浇灭,C、把锅里的油倒在地上,,,,
431,A、躲到广告牌下,B、躲到大树下,C、无处可躲时，双腿并拢、蹲下身子,,,,
432,A、口头约定,B、签字确认,C、达成共识,D、确定职责,,,
433,A、先点火、后开阀放气,B、先开阀放气、后点火,C、点火，开阀放气同时,,,,
436,A、送往医院诊治,B、通知其家属,C、等待医院救护车到来,D、立即进行现场急救，施行人工呼吸和心脏挤压,,,
439,A、干粉灭火器,B、二氧化碳灭火器,C、泡沫灭火器,,,,
441,A、勿站在凉台，窗台上向下扬,B、可站在凉台，窗台上向下扬,,,,,
442,A、安全监督管理局,B、技术监督局,C、公安部门,,,,
443,A、立即检查触电者是否还有心跳呼吸，如没有立即进行心肺复苏,B、立即断开电源使触电者与带电部份脱离,C、立即拨打120呼叫救护车,,,,
444,A、文化理论课,B、安全技术理论,C、文化理论课和实际操作,D、安全技术理论和实际操作,,,
445,A、研究劳动条件对健康的影响,B、改善劳动条件,C、创造安全、卫生、满意和高效的作业环境,D、提高劳动者的经济收益,,,
446,A、低挂高用,B、高挂低用,C、水平挂用,D、挂钩牢靠，挂位不受限制,,,
448,A、红外线,B、X射线,C、炭疽杆菌,D、激光,,,
450,A、工件,B、切屑,C、铣刀,,,,
451,A、警告标志,B、禁止标志,C、指令标志,D、提示标志,,,
452,A、50伏,B、数万伏,C、220伏,,,,
453,A、站在铁板上操作,B、站在绝缘胶板上操作,C、穿防静电鞋操作,,,,
456,A、施工作业场所有坠落可能的对象，应一律先行撤除或加以固定。,B、高空作业中所用的物料，均应堆放平稳，不妨碍通行和装卸。,C、高空作业时，工具应随手拿好。,,,,
457,A、压迫止血法,B、指压动脉出血近心端止血法,C、弹性止血带止血法,D、以上三种都是,,,
458,A、呼叫救护人员,B、切断电源或使伤者脱离电源,C、进行人工呼吸,,,,
459,A、及时转移至阴凉通风处安静休息并补充水、盐。,B、加强通风及散热，有条件的可进行物理降温(冰水或酒精擦浴、冰袋冷敷头及腋下等)，同时立即送医院救治。,C、休息，让其自己慢慢恢复。,,,,
461,A、1,B、2,C、3,D、3,,,
463,A、室外开箱须防尘,B、防雨,C、遇雷雨天气不得开箱,D、无需注意外界条件,,,
464,A、30,B、40,C、50,D、60,,,
465,A、10人,B、5人,C、3人,D、1人,,,
470,A、扩散燃烧,B、分解燃烧,C、混合燃烧,,,,
472,A、维修处理,B、报废处理,C、改造使用,,,,
473,A、分包单位,B、建设单位,C、总承包单位,D、监理单位,,,
475,A、20,B、30,C、40,,,,
479,A、行业标准,B、规范手册,C、强制性标准,,,,
481,A、漂亮,B、安全,C、舒适,,,,
484,A、取用不方便,B、会造成工作台超负荷,C、工具易坠落伤人,,,,
486,A、绝缘软尺,B、木尺,C、钢卷尺,,,,
487,A、先实施停电安全措施，再在高压电动机 及其附属装置的回路上进行检修工作。,B、检修工作终结，需通电实验高压电动机及其启动装置时，先让全部工作人员撤离现场，再送电试运转。,C、在运行的高压电动机的接地线上进行检修工作。,,,,
489,A、正比,B、反比,C、没有相关性,,,,
491,A、设放灭火器,B、设置围栏,C、堆放易燃、易爆、潮湿和其他影响操作的物件,,,,
492,A、锅炉爆炸,B、液化气体超压爆炸,C、金属粉尘爆炸,,,,
496,A、3米,B、3.5米,C、4米,D、4.5米,,,
497,A、金属屋面、砖木结构的建筑物和构筑物,B、山谷风口处的建筑物和构筑物,C、旷野孤立的或高于20M的建筑物和构筑物,D、前3项都是,,,
504,A、萌芽状态,B、爆发状态,C、危险状态,,,,
509,A、3,B、6,C、12,D、24,,,
510,A、视野开阔的区域,B、凸形竖曲线之后,C、长大纵坡的底部,,,,
511,A、直流电压220伏,B、交流电压280伏,C、交流电压220伏,,,,
512,A、门禁控制系统,B、视频监控系统,C、火灾自动报警系统,,,,
514,A、立即用手拉开触电人员,B、用铁棍拨开电源线,C、先切断电源或用绝缘物体拨开电源或触电者,,,,
515,A、1～3,B、5～7,C、15～30,,,,
517,A、手至肩部,B、双脚之间,C、左手至胸部,,,,
519,A、以最快的速度直立逃跑,B、将身体贴着地面匍匐前进或微微蹲下身子前进,C、蹲在地上不动,,,,
522,A、主管工长,B、项目经理,C、专职安全员,,,,
524,A、拉开电源，拔除电源插头,B、使用绝缘工具，干燥的木棒解脱触电者,C、抓住触电者的手，将其拖开,,,,
525,A、122,B、110,C、120,D、119,,,
528,A、2.5米,B、4米,C、4.5米,D、6米,,,
529,A、含金属纤维的工作服,B、防油污工作服,C、合成纤维工作服,,,,
530,A、皮肤污染：脱去污染的衣服，并用大量的微温水清洗污染的皮肤，毛发和指甲尤其不能忽略。,B、吸入毒物：立即脱离中毒现场，加强通风及吸氧；食入毒物：神志清醒的采用催吐方法洗胃，喝微温300－500mL，用压舌根等方式催吐，反复直到吐出物为清亮液体为止。强酸、强碱等腐蚀性毒物不宜催吐和洗胃，可喝牛奶或蛋清等润滑剂以稀释、中和毒物。,C、毒蛇、毒虫咬伤：限制受伤局部活动，吸出毒液，并在受伤肢体的近端结扎,D、以上都正确。,,,
531,A、一人背负运送,B、二人抬运，一个抱头，一个抬腿,C、多人搬运，保持伤员身体平直，动作均衡,,,,
532,A、3个月,B、半年,C、1年,D、2年,,,
533,A、头昏脑胀,B、神经衰弱,C、记忆力减退,D、头痛眼胀,,,
534,A、相线,B、零线,C、相线或零线,D、保护零线,,,
535,A、预防为主、防消结合,B、安全第一、预防为主,C、预防为主、齐抓共管,,,,
536,A、20分钟内,B、15分钟内,C、30分钟内,,,,
537,A、20,B、25,C、15,,,,
539,A、300℃～400℃,B、500℃～600℃,C、700℃～800℃,,,,
540,A、有触电机会的工作场所,B、坑穴或密闭场所,C、高空作业,,,,
542,A、医务室,B、阴凉处,C、现场,,,,
543,A、分包,B、总包,C、建设单位,,,,
544,A、导电粉尘或纤维,B、强光辐射,C、热气,,,,
548,A、安全鉴定证,B、生产许可证,C、检验合格证,D、产品合格证,,,
550,A、电流大，电压高,B、电流小，电压高,C、电流大，电压低,,,,
555,A、用手揉眼，把异物揉出来,B、反复眨眼，用眼泪将异物冲出来,C、用清水冲洗眼睛,,,,
557,A、一年,B、两年,C、半年,,,,
561,A、当处于烟火中，烟太浓，卧地爬行，并用湿毛巾蒙着口鼻,B、遇山林火灾时，朝下风向跑,C、遇山林火灾时，朝上风向跑,,,,
562,A、危险报警闪光灯,B、示廓灯和后位灯,C、防雾灯,,,,
563,A、记大过,B、开除,C、追究刑事责任,,,,
564,A、在上方有人,B、在周围的人,C、在同一垂直方向上,,,,
566,A、窗口,B、地面,C、墙角,,,,
570,A、生产经营单位,B、从业人员,C、安全生产,,,,
571,A、佩戴安全带,B、佩戴安全帽,C、佩戴安全帽和安全带,D、佩戴安全带和安全帽，穿防滑鞋和紧口工作服,,,
572,A、驶离,B、协商,C、查看,,,,
573,A、指造成30人以上死亡，或者100人以上重伤(包括急性工业中毒，下同)，或者1亿元以上直接经济损失的事故。,B、指造成10人以上30人以下死亡，或者50人以上100人以下重伤，或者5000万元以上1亿元以下直接经济损失的事故。,C、指造成3人以上10人以下死亡，或者10人以上50人以下重伤，或者1000万元以上5000万元以下直接经济损失的事故。,D、指造成3人以下死亡，或者10人以下重伤，或者1000万元以下直接经济损失的事故。,,,
575,A、36,B、220,C、数万,,,,
579,A、0.3米,B、0.5米,C、0.7米,D、1.0米,,,
582,A、3,B、5,C、8,,,,
587,A、控制机房内,B、出入口下端明显位置处,C、扶手带上,,,,
588,A、照明,B、设备,C、电气,D、空调,,,
589,A、公安机关,B、人民法院,C、生产安全监察部门,,,,
590,A、5～7,B、10～12,C、15～20,,,,
591,A、技术、管理,B、专业、职能,C、管理、设计,D、整体、细节,,,
594,A、15,B、30,C、150,,,,
597,A、主要,B、全部,C、全面,D、部分,,,
598,A、民事责任,B、财产责任,C、其他法律责任,,,,
600,A、瓶帽,B、防震圈,C、爆破片,,,,
601,A、CO2灭火器,B、水,C、湿棉被,D、汽油,,,
605,A、反光外套或挂带,B、防毒面具,C、护目镜,D、防滑鞋,,,
607,A、防火屏障,B、保护屏障,C、防毒屏障,,,,
608,A、售票处,B、出口处,C、易于为乘客注意的显著位置,,,,
609,A、电气照明,B、使用电话,C、使用明火,,,,
610,A、预防为主，常备不懈的方针,B、统一领导，措施果断的方针,C、依靠科学，加强合作的方针,D、统一领导，分级负责的方针,,,
612,A、全面责任,B、主要责任,C、领导责任,,,,
615,A、倒车行驶,B、快速行使,C、慢速前进,,,,
616,A、20,B、30,C、40,,,,
617,A、人体接受电流遭到电击,B、烧伤,C、电休克,D、救援不及时,,,
618,A、电动工具,B、乙炔气瓶,C、灭火器,D、可燃气体探测仪,,,
619,A、提高生产经济效益,B、增强员工安全意识,C、安全生产，人人有责,D、提高社会效益,,,
621,A、注意安全,B、当心触电,C、有人作业，禁止合闸,D、请勿靠近,,,
622,A、灰色,B、黄色,C、红色,D、蓝色,,,
623,A、预防、准备、响应、恢复,B、策划、准备、响应、评审,C、策划、响应、恢复、预案管理,D、预防、响应、恢复、评审,,,
624,A、立即营救受害人员,B、迅速控制事态发展,C、进行应急能力评估,D、进行事故危害程度评估,,,
626,A、推拉式,B、向内开启式,C、向外开启式,,,,
630,A、1,B、2,C、5,D、10,,,
632,A、0.5,B、1,C、1.5,D、2,,,
636,A、从棚架,B、从指定的路线,C、从安全绳,,,,
639,A、2002年10月1日,B、2002年6月29日,C、2002年11月1日,,,,
643,A、企业签发的电工上岗证,B、职业技能机构核发的电工等级证,C、工作票,D、安全生产监督管理部门核发的特种作业人员操作证,,,
649,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地 绝缘。,C、漏电保护器在日常使用中不可在通电状 态下按动实验按钮来检验其是否灵敏可靠。,,,,
